stage,arm,symbol,timeframe,changes,sharpe,cagr,max_drawdown,profit_factor,trades,exposure,precision,oos_bars,sharpe_ci_low,sharpe_ci_high,deflated_sharpe,benchmark_sharpe,status,seconds
consolidate,"meta + top-20, 5 seeds, 6 folds, 2016",EURUSD,H1,labeling.method=meta; model.top_k_features=20; model.n_seeds=5; data.start=2016-01-01; validation.n_folds=6,-0.274,-0.02341,-0.2443,0.9891,329,0.9841,0.5006,45318,-0.9123,0.2773,0.0,0.0739,ok,995.7
holdout,HOLDOUT GBPUSD H1,GBPUSD,H1,data.symbol=GBPUSD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.7412,0.07825,-0.0925,1.0316,110,0.9483,0.5024,13731,-0.4133,1.6316,0.0,-0.0756,ok,56.0
holdout,HOLDOUT GOLD H1,GOLD,H1,data.symbol=GOLD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.8543,0.16733,-0.0957,1.0664,90,0.9642,0.5064,13044,-0.3623,1.5345,0.0,1.3666,ok,53.8
holdout,HOLDOUT GBPUSD H1,GBPUSD,H1,data.symbol=GBPUSD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.7412,0.07825,-0.0925,1.0316,110,0.9483,0.5024,13731,-0.4133,1.6316,0.0,-0.0756,ok,51.0
holdout,HOLDOUT GOLD H1,GOLD,H1,data.symbol=GOLD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.8543,0.16733,-0.0957,1.0664,90,0.9642,0.5064,13044,-0.3623,1.5345,0.0,1.3666,ok,51.7
holdout,HOLDOUT USDJPY H1,USDJPY,H1,data.symbol=USDJPY; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.5805,0.06383,-0.1291,1.0247,113,0.9656,0.4885,13731,-0.8448,1.754,0.0,1.2496,ok,55.2
holdout,HOLDOUT AUDUSD H1,AUDUSD,H1,data.symbol=AUDUSD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,-0.5523,-0.06273,-0.2367,0.9793,107,0.9691,0.4824,13731,-2.1931,0.8405,0.0,-0.479,ok,59.2
holdout,HOLDOUT USDCAD H1,USDCAD,H1,data.symbol=USDCAD; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.1252,0.00788,-0.1174,1.0053,90,0.9735,0.4973,13731,-1.0207,1.179,0.0,0.5878,ok,55.2
holdout,HOLDOUT USDCHF H1,USDCHF,H1,data.symbol=USDCHF; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,-0.603,-0.08421,-0.2242,0.9728,109,0.9725,0.4836,13731,-1.7205,0.3564,0.0,-0.4767,ok,55.6
holdout,HOLDOUT EURGBP H1,EURGBP,H1,data.symbol=EURGBP; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,-0.7497,-0.0967,-0.2774,0.9668,105,0.9567,0.5001,13731,-1.7519,0.3634,0.0,-0.0311,ok,54.3
holdout,HOLDOUT GBPJPY H1,GBPJPY,H1,data.symbol=GBPJPY; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,0.1725,0.01304,-0.1575,1.0066,101,0.9596,0.5001,13731,-0.9648,1.2514,0.0,1.1553,ok,56.0
holdout,HOLDOUT EURJPY H1,EURJPY,H1,data.symbol=EURJPY; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,-0.3523,-0.04496,-0.1935,0.9861,121,0.9452,0.4842,13731,-1.6513,0.6503,0.0,1.1181,ok,55.5
holdout,HOLDOUT CADCHF H1,CADCHF,H1,data.symbol=CADCHF; data.timeframe=H1; data.start=2020-01-01; validation.n_folds=3; regime.method=none; model.name=random_forest; evaluation.bootstrap_samples=300; labeling.method=meta; model.top_k_features=20; backtest.volatility_target=0.1,-1.1109,-0.14454,-0.3527,0.9512,102,0.9647,0.49,13230,-2.4396,0.3574,0.0,-0.8026,ok,53.5
