time,open,high,low,close,volume
2023-10-20 10:00:00,1.057320,1.057580,1.056750,1.056980,3978.000000
2023-10-20 11:00:00,1.056990,1.059440,1.056740,1.058700,4145.000000
2023-10-20 12:00:00,1.058670,1.059250,1.057890,1.058900,3065.000000
2023-10-20 13:00:00,1.058900,1.059190,1.058300,1.058440,2826.000000
2023-10-20 14:00:00,1.058440,1.059820,1.058400,1.059000,3192.000000
2023-10-20 15:00:00,1.058990,1.059140,1.056430,1.058290,5937.000000
2023-10-20 16:00:00,1.058300,1.059390,1.057790,1.057800,6975.000000
2023-10-20 17:00:00,1.057800,1.059980,1.057120,1.058700,6280.000000
2023-10-20 18:00:00,1.058690,1.059550,1.058620,1.059020,4168.000000
2023-10-20 19:00:00,1.059020,1.059040,1.058030,1.058850,3153.000000
2023-10-20 20:00:00,1.058850,1.060270,1.058690,1.059500,3800.000000
2023-10-20 21:00:00,1.059480,1.059560,1.058560,1.059160,2474.000000
2023-10-20 22:00:00,1.059170,1.059380,1.058740,1.059120,2112.000000
2023-10-20 23:00:00,1.059130,1.059460,1.059040,1.059280,1090.000000
2023-10-23 00:00:00,1.059390,1.059530,1.059120,1.059250,404.000000
2023-10-23 01:00:00,1.059260,1.059490,1.058760,1.059050,936.000000
2023-10-23 02:00:00,1.059060,1.059250,1.058770,1.058860,809.000000
2023-10-23 03:00:00,1.058840,1.058940,1.058310,1.058620,1569.000000
2023-10-23 04:00:00,1.058610,1.058630,1.058080,1.058260,1778.000000
2023-10-23 05:00:00,1.058250,1.058250,1.057230,1.057270,1485.000000
2023-10-23 06:00:00,1.057280,1.057740,1.057270,1.057420,1343.000000
2023-10-23 07:00:00,1.057420,1.057630,1.057310,1.057530,1044.000000
2023-10-23 08:00:00,1.057530,1.057840,1.057440,1.057640,1291.000000
2023-10-23 09:00:00,1.057640,1.058550,1.057050,1.058160,2221.000000
2023-10-23 10:00:00,1.058150,1.059680,1.057560,1.059670,4205.000000
2023-10-23 11:00:00,1.059690,1.060960,1.059410,1.060180,4194.000000
2023-10-23 12:00:00,1.060170,1.061390,1.059000,1.059220,4086.000000
