time,open,high,low,close,volume
2023-10-20 10:00:00,1.210900,1.211620,1.210240,1.210270,5238.000000
2023-10-20 11:00:00,1.210270,1.212600,1.209600,1.212270,5609.000000
2023-10-20 12:00:00,1.212270,1.212820,1.211290,1.212510,4206.000000
2023-10-20 13:00:00,1.212520,1.213140,1.211800,1.212180,3178.000000
2023-10-20 14:00:00,1.212170,1.214430,1.212100,1.213980,3317.000000
2023-10-20 15:00:00,1.213970,1.214840,1.211910,1.214000,5030.000000
2023-10-20 16:00:00,1.213950,1.216010,1.213650,1.214410,6780.000000
2023-10-20 17:00:00,1.214410,1.215760,1.213040,1.214710,5938.000000
2023-10-20 18:00:00,1.214700,1.215880,1.214520,1.214950,4270.000000
2023-10-20 19:00:00,1.214940,1.215380,1.213430,1.215320,3511.000000
2023-10-20 20:00:00,1.215310,1.216930,1.215220,1.216060,4494.000000
2023-10-20 21:00:00,1.216060,1.216130,1.214840,1.215610,3803.000000
2023-10-20 22:00:00,1.215620,1.216060,1.215200,1.215960,2327.000000
2023-10-20 23:00:00,1.215950,1.216490,1.215840,1.216060,1612.000000
2023-10-23 00:00:00,1.215280,1.216040,1.215060,1.215860,160.000000
2023-10-23 01:00:00,1.215650,1.216020,1.215560,1.216020,1330.000000
2023-10-23 02:00:00,1.216020,1.216530,1.215940,1.216220,1191.000000
2023-10-23 03:00:00,1.216220,1.216300,1.215400,1.216130,1895.000000
2023-10-23 04:00:00,1.216130,1.216140,1.215530,1.215840,2159.000000
2023-10-23 05:00:00,1.215840,1.215930,1.214890,1.214910,1364.000000
2023-10-23 06:00:00,1.214910,1.215530,1.214700,1.214700,1246.000000
2023-10-23 07:00:00,1.214690,1.214950,1.214330,1.214860,1914.000000
2023-10-23 08:00:00,1.214850,1.215320,1.214700,1.214820,2241.000000
2023-10-23 09:00:00,1.214820,1.216540,1.214460,1.215700,3150.000000
2023-10-23 10:00:00,1.215700,1.217020,1.214700,1.216730,5359.000000
2023-10-23 11:00:00,1.216760,1.218400,1.215880,1.216090,4457.000000
2023-10-23 12:00:00,1.216080,1.217140,1.214230,1.214790,5072.000000
2023-10-23 13:00:00,1.214780,1.215690,1.214330,1.215420,4377.000000
2023-10-23 14:00:00,1.215400,1.217340,1.215130,1.216890,3161.000000
2023-10-23 15:00:00,1.216890,1.218200,1.215620,1.216330,4085.000000
2023-10-23 16:00:00,1.216330,1.217310,1.214940,1.217220,4857.000000
2023-10-23 17:00:00,1.217230,1.221360,1.217110,1.220680,6347.000000
2023-10-23 18:00:00,1.220680,1.223600,1.220490,1.223120,4346.000000
2023-10-23 19:00:00,1.223130,1.223290,1.221940,1.223290,4338.000000
2023-10-23 20:00:00,1.223290,1.225210,1.222670,1.224500,3745.000000
2023-10-23 21:00:00,1.224480,1.225770,1.224320,1.225410,3263.000000
2023-10-23 22:00:00,1.225390,1.225420,1.223630,1.224350,2875.000000
2023-10-23 23:00:00,1.224350,1.224810,1.224280,1.224750,1483.000000
2023-10-24 00:00:00,1.224760,1.224760,1.223230,1.224230,555.000000
2023-10-24 01:00:00,1.224240,1.225270,1.224240,1.224780,730.000000
2023-10-24 02:00:00,1.224770,1.224930,1.224560,1.224800,1008.000000
2023-10-24 03:00:00,1.224800,1.225620,1.224580,1.225420,2145.000000
2023-10-24 04:00:00,1.225430,1.226190,1.224780,1.225190,3377.000000
2023-10-24 05:00:00,1.225220,1.227310,1.224990,1.226430,2651.000000
2023-10-24 06:00:00,1.226440,1.226600,1.226120,1.226460,2370.000000
2023-10-24 07:00:00,1.226470,1.226590,1.226140,1.226420,2649.000000
2023-10-24 08:00:00,1.226420,1.227100,1.226180,1.227090,2862.000000
2023-10-24 09:00:00,1.227070,1.228400,1.226120,1.228370,4249.000000
2023-10-24 10:00:00,1.228370,1.228790,1.225780,1.226160,5272.000000
2023-10-24 11:00:00,1.226180,1.226500,1.224250,1.226280,4725.000000
2023-10-24 12:00:00,1.226250,1.226250,1.223950,1.223980,3448.000000
2023-10-24 13:00:00,1.223970,1.224440,1.220970,1.221060,3276.000000
2023-10-24 14:00:00,1.221060,1.223260,1.220950,1.221830,4449.000000
2023-10-24 15:00:00,1.221810,1.222060,1.219670,1.220250,4449.000000
2023-10-24 16:00:00,1.220250,1.220620,1.217130,1.218610,6755.000000
2023-10-24 17:00:00,1.218620,1.219120,1.216520,1.217700,7158.000000
2023-10-24 18:00:00,1.217710,1.217730,1.215760,1.216720,4824.000000
2023-10-24 19:00:00,1.216700,1.217160,1.215230,1.215760,3180.000000
2023-10-24 20:00:00,1.215720,1.216660,1.215720,1.216130,3879.000000
2023-10-24 21:00:00,1.216120,1.216370,1.215480,1.216020,1888.000000
2023-10-24 22:00:00,1.216020,1.216460,1.215770,1.216200,2086.000000
2023-10-24 23:00:00,1.216220,1.216480,1.215660,1.215800,1717.000000
2023-10-25 00:00:00,1.215410,1.216170,1.215410,1.216010,591.000000
2023-10-25 01:00:00,1.215970,1.216000,1.215470,1.215980,1180.000000
2023-10-25 02:00:00,1.215980,1.216120,1.215740,1.216120,968.000000
2023-10-25 03:00:00,1.216120,1.216800,1.215960,1.216500,2605.000000
2023-10-25 04:00:00,1.216500,1.217140,1.216270,1.216810,2333.000000
2023-10-25 05:00:00,1.216800,1.217330,1.216690,1.217170,1845.000000
2023-10-25 06:00:00,1.217220,1.217440,1.217000,1.217030,1887.000000
2023-10-25 07:00:00,1.217030,1.217430,1.217020,1.217410,1367.000000
2023-10-25 08:00:00,1.217410,1.217490,1.216460,1.216840,2139.000000
2023-10-25 09:00:00,1.216830,1.217070,1.215860,1.216020,3447.000000
2023-10-25 10:00:00,1.216020,1.216530,1.213650,1.214030,3793.000000
2023-10-25 11:00:00,1.214020,1.214980,1.213240,1.213720,3814.000000
2023-10-25 12:00:00,1.213720,1.213770,1.211270,1.211850,4075.000000
2023-10-25 13:00:00,1.211850,1.212500,1.211330,1.212250,2979.000000
2023-10-25 14:00:00,1.212230,1.213180,1.211340,1.211710,3148.000000
2023-10-25 15:00:00,1.211720,1.213610,1.211520,1.212960,3836.000000
2023-10-25 16:00:00,1.212960,1.213820,1.212150,1.213250,5310.000000
2023-10-25 17:00:00,1.213240,1.215520,1.212450,1.214090,7400.000000
2023-10-25 18:00:00,1.214120,1.215200,1.213640,1.213700,6269.000000
2023-10-25 19:00:00,1.213700,1.213920,1.212120,1.212610,4067.000000
2023-10-25 20:00:00,1.212600,1.212920,1.211270,1.212000,5468.000000
2023-10-25 21:00:00,1.211990,1.212270,1.211290,1.211510,3939.000000
