time,open,high,low,close,volume
2023-09-07 11:00:00,1918.200000,1919.200000,1917.260000,1918.740000,2862.000000
2023-09-07 12:00:00,1918.750000,1920.380000,1918.460000,1920.140000,2390.000000
2023-09-07 13:00:00,1920.210000,1921.090000,1919.390000,1919.920000,2176.000000
2023-09-07 14:00:00,1919.900000,1922.060000,1919.880000,1921.760000,2956.000000
2023-09-07 15:00:00,1921.740000,1923.480000,1916.100000,1923.140000,8807.000000
2023-09-07 16:00:00,1923.190000,1923.390000,1918.070000,1919.920000,9762.000000
2023-09-07 17:00:00,1919.950000,1921.420000,1917.110000,1917.930000,7573.000000
2023-09-07 18:00:00,1917.920000,1921.290000,1917.130000,1920.850000,4784.000000
2023-09-07 19:00:00,1920.860000,1921.380000,1917.930000,1917.930000,2654.000000
2023-09-07 20:00:00,1917.930000,1919.250000,1917.340000,1918.380000,2427.000000
2023-09-07 21:00:00,1918.390000,1920.620000,1917.970000,1920.240000,2058.000000
2023-09-07 22:00:00,1920.240000,1920.450000,1918.570000,1918.720000,1332.000000
2023-09-07 23:00:00,1918.730000,1919.660000,1918.730000,1919.510000,915.000000
2023-09-08 01:00:00,1919.140000,1920.240000,1919.140000,1919.680000,622.000000
2023-09-08 02:00:00,1919.670000,1920.230000,1919.660000,1920.180000,718.000000
2023-09-08 03:00:00,1920.160000,1924.610000,1920.000000,1923.590000,3292.000000
2023-09-08 04:00:00,1923.550000,1926.000000,1922.760000,1925.760000,5190.000000
2023-09-08 05:00:00,1925.780000,1927.100000,1924.960000,1925.820000,2872.000000
2023-09-08 06:00:00,1925.810000,1926.180000,1924.260000,1924.830000,1757.000000
2023-09-08 07:00:00,1924.850000,1924.930000,1924.160000,1924.430000,1071.000000
2023-09-08 08:00:00,1924.420000,1925.820000,1924.220000,1925.590000,1591.000000
2023-09-08 09:00:00,1925.590000,1927.160000,1924.780000,1925.280000,3213.000000
2023-09-08 10:00:00,1925.240000,1925.890000,1923.750000,1924.000000,3324.000000
2023-09-08 11:00:00,1924.010000,1924.700000,1923.290000,1924.600000,2789.000000
2023-09-08 12:00:00,1924.560000,1925.740000,1923.820000,1925.070000,2418.000000
2023-09-08 13:00:00,1925.090000,1925.460000,1923.250000,1923.410000,1904.000000
2023-09-08 14:00:00,1923.430000,1923.850000,1922.520000,1922.870000,2568.000000
2023-09-08 15:00:00,1922.880000,1925.950000,1920.250000,1920.310000,5512.000000
2023-09-08 16:00:00,1920.340000,1928.720000,1920.100000,1928.480000,8688.000000
2023-09-08 17:00:00,1928.430000,1929.610000,1923.720000,1923.730000,8261.000000
2023-09-08 18:00:00,1923.760000,1924.170000,1919.070000,1919.490000,6062.000000
2023-09-08 19:00:00,1919.500000,1919.790000,1917.230000,1919.580000,3968.000000
2023-09-08 20:00:00,1919.580000,1920.370000,1918.750000,1920.350000,2560.000000
2023-09-08 21:00:00,1920.340000,1920.580000,1918.300000,1918.470000,1596.000000
2023-09-08 22:00:00,1918.470000,1919.290000,1918.030000,1919.060000,1487.000000
2023-09-08 23:00:00,1919.080000,1919.270000,1918.660000,1918.850000,592.000000
2023-09-11 01:00:00,1919.410000,1920.490000,1917.790000,1918.220000,1344.000000
2023-09-11 02:00:00,1918.180000,1919.540000,1916.540000,1918.710000,1600.000000
2023-09-11 03:00:00,1918.710000,1920.100000,1918.210000,1919.890000,2488.000000
2023-09-11 04:00:00,1919.870000,1923.130000,1918.950000,1922.320000,4713.000000
2023-09-11 05:00:00,1922.310000,1924.050000,1922.220000,1922.530000,3227.000000
2023-09-11 06:00:00,1922.520000,1923.490000,1922.150000,1923.150000,2210.000000
2023-09-11 07:00:00,1923.140000,1926.660000,1922.800000,1926.390000,2934.000000
2023-09-11 08:00:00,1926.370000,1927.960000,1925.830000,1927.540000,4235.000000
2023-09-11 09:00:00,1927.480000,1928.540000,1926.210000,1927.790000,4001.000000
2023-09-11 10:00:00,1927.810000,1930.590000,1926.160000,1926.340000,4297.000000
2023-09-11 11:00:00,1926.340000,1927.690000,1925.270000,1927.590000,3253.000000
2023-09-11 12:00:00,1927.580000,1927.930000,1925.210000,1925.240000,2512.000000
2023-09-11 13:00:00,1925.220000,1926.250000,1924.610000,1925.670000,2186.000000
2023-09-11 14:00:00,1925.650000,1926.410000,1924.540000,1925.090000,2247.000000
2023-09-11 15:00:00,1925.150000,1927.230000,1924.090000,1927.170000,5074.000000
2023-09-11 16:00:00,1927.120000,1929.990000,1924.220000,1925.770000,8089.000000
2023-09-11 17:00:00,1925.740000,1926.540000,1921.400000,1922.470000,8243.000000
2023-09-11 18:00:00,1922.470000,1924.290000,1921.250000,1922.920000,4448.000000
2023-09-11 19:00:00,1922.910000,1924.990000,1922.640000,1923.290000,2862.000000
2023-09-11 20:00:00,1923.310000,1924.240000,1922.320000,1922.560000,2969.000000
2023-09-11 21:00:00,1922.570000,1922.810000,1921.330000,1921.720000,1774.000000
2023-09-11 22:00:00,1921.740000,1923.060000,1921.450000,1922.610000,1650.000000
2023-09-11 23:00:00,1922.600000,1922.600000,1922.110000,1922.200000,741.000000
2023-09-12 01:00:00,1922.670000,1923.310000,1922.200000,1922.410000,620.000000
2023-09-12 02:00:00,1922.390000,1922.430000,1921.050000,1921.530000,1002.000000
2023-09-12 03:00:00,1921.500000,1922.490000,1921.060000,1921.410000,1720.000000
2023-09-12 04:00:00,1921.400000,1923.430000,1920.190000,1921.730000,3819.000000
2023-09-12 05:00:00,1921.660000,1923.280000,1921.090000,1922.870000,3071.000000
2023-09-12 06:00:00,1922.850000,1924.200000,1922.100000,1923.530000,2231.000000
2023-09-12 07:00:00,1923.540000,1924.400000,1922.110000,1922.140000,1708.000000
2023-09-12 08:00:00,1922.200000,1922.230000,1919.780000,1920.100000,2620.000000
2023-09-12 09:00:00,1920.170000,1920.590000,1918.710000,1919.880000,3534.000000
2023-09-12 10:00:00,1919.840000,1919.990000,1918.700000,1918.860000,3102.000000
2023-09-12 11:00:00,1918.900000,1921.230000,1918.490000,1919.620000,2924.000000
2023-09-12 12:00:00,1919.620000,1919.950000,1918.460000,1918.850000,2303.000000
2023-09-12 13:00:00,1918.850000,1919.490000,1914.860000,1915.460000,3939.000000
2023-09-12 14:00:00,1915.480000,1915.500000,1910.770000,1912.830000,4644.000000
2023-09-12 15:00:00,1912.810000,1912.810000,1908.500000,1909.610000,6635.000000
2023-09-12 16:00:00,1909.570000,1911.730000,1907.440000,1909.130000,8708.000000
2023-09-12 17:00:00,1909.080000,1914.620000,1908.230000,1911.770000,7036.000000
2023-09-12 18:00:00,1911.810000,1913.600000,1911.530000,1912.320000,3770.000000
2023-09-12 19:00:00,1912.330000,1914.940000,1911.590000,1912.200000,3015.000000
2023-09-12 20:00:00,1912.250000,1913.190000,1911.650000,1911.920000,2476.000000
2023-09-12 21:00:00,1911.940000,1913.350000,1911.680000,1913.260000,1868.000000
2023-09-12 22:00:00,1913.280000,1913.510000,1912.530000,1912.890000,1721.000000
2023-09-12 23:00:00,1912.870000,1913.420000,1912.570000,1913.220000,1056.000000
2023-09-13 01:00:00,1912.670000,1913.630000,1912.580000,1913.380000,530.000000
2023-09-13 02:00:00,1913.370000,1913.630000,1912.290000,1912.760000,770.000000
2023-09-13 03:00:00,1912.760000,1913.600000,1912.330000,1912.440000,1784.000000
2023-09-13 04:00:00,1912.440000,1913.730000,1910.570000,1911.290000,3590.000000
2023-09-13 05:00:00,1911.320000,1911.740000,1908.730000,1908.930000,3329.000000
2023-09-13 06:00:00,1908.920000,1909.550000,1908.050000,1909.530000,2401.000000
2023-09-13 07:00:00,1909.520000,1911.830000,1909.330000,1911.480000,1937.000000
2023-09-13 08:00:00,1911.480000,1912.510000,1909.110000,1910.090000,2911.000000
2023-09-13 09:00:00,1910.110000,1910.380000,1908.050000,1909.810000,4238.000000
2023-09-13 10:00:00,1909.790000,1912.040000,1909.160000,1911.870000,3852.000000
2023-09-13 11:00:00,1911.870000,1912.440000,1911.050000,1912.070000,2820.000000
2023-09-13 12:00:00,1912.060000,1912.330000,1910.640000,1911.090000,2611.000000
2023-09-13 13:00:00,1911.050000,1912.440000,1910.700000,1912.440000,1983.000000
2023-09-13 14:00:00,1912.450000,1913.000000,1911.240000,1912.190000,2550.000000
2023-09-13 15:00:00,1912.190000,1914.390000,1905.020000,1912.180000,12905.000000
2023-09-13 16:00:00,1912.200000,1915.610000,1909.270000,1913.210000,12858.000000
2023-09-13 17:00:00,1913.310000,1914.650000,1909.670000,1912.540000,8873.000000
2023-09-13 18:00:00,1912.550000,1913.460000,1909.110000,1910.310000,5304.000000
2023-09-13 19:00:00,1910.320000,1911.560000,1908.750000,1909.290000,4181.000000
2023-09-13 20:00:00,1909.280000,1911.070000,1908.030000,1909.890000,3014.000000
2023-09-13 21:00:00,1909.890000,1910.250000,1908.720000,1909.260000,2327.000000
2023-09-13 22:00:00,1909.240000,1909.240000,1908.320000,1908.740000,2356.000000
2023-09-13 23:00:00,1908.750000,1908.830000,1907.990000,1908.000000,967.000000
2023-09-14 01:00:00,1908.140000,1909.670000,1908.050000,1908.690000,809.000000
2023-09-14 02:00:00,1908.700000,1909.510000,1907.400000,1909.070000,1152.000000
2023-09-14 03:00:00,1909.000000,1912.700000,1908.820000,1912.530000,2130.000000
2023-09-14 04:00:00,1912.510000,1912.770000,1910.480000,1911.010000,6142.000000
2023-09-14 05:00:00,1910.960000,1911.240000,1908.690000,1909.830000,5053.000000
2023-09-14 06:00:00,1909.820000,1910.520000,1908.720000,1909.550000,2826.000000
2023-09-14 07:00:00,1909.550000,1910.560000,1909.050000,1909.310000,1917.000000
2023-09-14 08:00:00,1909.330000,1910.910000,1907.600000,1907.910000,3891.000000
2023-09-14 09:00:00,1907.860000,1908.540000,1906.850000,1907.220000,4583.000000
2023-09-14 10:00:00,1907.270000,1907.400000,1905.050000,1905.720000,4314.000000
2023-09-14 11:00:00,1905.720000,1907.240000,1905.410000,1907.170000,4367.000000
2023-09-14 12:00:00,1907.170000,1907.420000,1905.980000,1906.200000,2986.000000
2023-09-14 13:00:00,1906.190000,1909.030000,1906.110000,1908.920000,3448.000000
2023-09-14 14:00:00,1908.930000,1909.010000,1907.040000,1907.380000,3697.000000
2023-09-14 15:00:00,1907.380000,1910.200000,1901.030000,1904.320000,14915.000000
2023-09-14 16:00:00,1904.290000,1907.460000,1901.830000,1903.020000,16204.000000
2023-09-14 17:00:00,1902.980000,1910.380000,1900.840000,1908.300000,12318.000000
2023-09-14 18:00:00,1908.350000,1911.270000,1905.650000,1907.860000,8251.000000
2023-09-14 19:00:00,1907.870000,1911.950000,1907.850000,1910.130000,6730.000000
2023-09-14 20:00:00,1910.120000,1911.310000,1908.270000,1908.610000,4784.000000
2023-09-14 21:00:00,1908.610000,1909.380000,1908.030000,1908.210000,2803.000000
2023-09-14 22:00:00,1908.220000,1909.380000,1908.170000,1909.300000,2215.000000
2023-09-14 23:00:00,1909.260000,1910.540000,1909.070000,1910.410000,1001.000000
2023-09-15 01:00:00,1910.120000,1910.790000,1910.080000,1910.210000,793.000000
2023-09-15 02:00:00,1910.190000,1910.970000,1909.630000,1909.650000,1091.000000
2023-09-15 03:00:00,1909.630000,1911.400000,1909.630000,1911.090000,2502.000000
2023-09-15 04:00:00,1911.100000,1915.260000,1910.330000,1915.210000,6955.000000
2023-09-15 05:00:00,1915.190000,1915.950000,1914.460000,1915.400000,4557.000000
2023-09-15 06:00:00,1915.390000,1915.770000,1914.480000,1915.470000,2875.000000
2023-09-15 07:00:00,1915.470000,1916.690000,1915.070000,1916.080000,2092.000000
2023-09-15 08:00:00,1916.070000,1916.150000,1914.780000,1916.100000,3864.000000
2023-09-15 09:00:00,1916.100000,1919.470000,1915.890000,1918.510000,7859.000000
